"entity"|"benefits"|"constituents"|"preparations"
"achillea-millefolium"|"x"|"x"|"x"
"acorus-calamus"|"x"|"x"|
"aesculus-hippocastanum"|"x"|"x"|"x"
"allium-sativum"|"x"|"x"|
"aloe-vera"|"x"|"x"|
"alpinia-officinarum"|"x"|"x"|
"ammi-visnaga"|"x"|"x"|
"angelica-sinensis"|"x"|"x"|
"apium-graveolens"|"x"|"x"|
"arctium-lappa"|||
"artemisia-absinthium"|||
"artemisia-annua"|||
"astragalus-membranaceus"|||
"atropa-belladonna"|||
"azadirachta-indica"|||
"barosma-betulina"|||
"bupleurum-chinense"|||
"calendula-officinalis"|||
"capsicum-annuum"|||
"cassia-senna"|||
"centella-asiatica"|||
"chamomilla-recutita"|||
"chrysanthemum-morifolium"|||
"cimicifuga-racemosa"|||
"cinchona-officinalis"|||
"cinnamomum-verum"|||
"citrus-limon"|||
"codonopsis-pilosula"|||
"coleus-forskohlii"|||
"commiphora-molmol"|||
"corydalis-yanhusuo"|||
"crataegus-oxyacantha"|||
"crataeva-nurvula"|||
"crocus-sativa"|||
"curcuma-longa"|||
"dioscorea-villosa"|||
"echinacea-angustifolia"|||
"elettaria-cardamomum"|||
"eleutherococcus-senticosus"|||
"ephedra-sinica"|||
"eucalyptus-globulus"|||
"eugenia-caryophyllata"|||
"filipendula-ulmaria"|||
"gentiana-lutea"|||
"ginkgo-biloba"|||
"glycyrrhiza-glabra"|||
"hamamelis-virginiana"|||
"harpagophytum-procumbens"|||
"humulus-lupulus"|||
"hydrastis-canadensis"|||
"hypericum-perforatum"|||
"inula-helenium"|||
"lavandula-angustifolia"|||
"linum-usitatissimum"|||
"lobelia-inflata"|||
"lycium-chinense"|||
"melaleuca-alternifolia"|||
"melissa-officinalis"|||
"mentha-x-piperita"|||
"myristica-fragrans"|||
"ocimum-tenuiflorum"|||
"paeonia-lactiflora"|||
"panax-ginseng"|||
"passiflora-incarnata"|||
"pelargonium-sidoides"|||
"persea-americana"|||
"piper-methysticum"|||
"plantago-lanceolata"|||
"polygonum-multiflorum"|||
"rehmannia-glutinosa"|||
"rheum-palmatum"|||
"rhodiola-rosea"|||
"rosmarinus-officinalis"|||
"salix-alba"|||
"salvia-miltiorrhiza"|||
"salvia-officinalis"|||
"sambucus-nigra"|||
"schisandra-chinensis"|||
"scutellaria-baicalensis"|||
"scutellaria-lateriflora"|||
"serenoa-repens"|||
"silybum-marianum"|||
"symphytum-officinale"|||
"tabebuia-rosea"|||
"tanacetum-parthenium"|||
"taraxacum-officinale"|||
"terminalia-arjuna"|||
"thymus-vulgaris"|||
"turnera-diffusa"|||
"ulmus-rubra"|||
"urtica-dioica"|||
"vaccinium-myrtillus"|||
"valeriana-officinalis"|||
"verbena-officinalis"|||
"viburnum-opulus"|||
"vitex-agnus-castus"|||
"withania-somnifera"|||
"zanthoxylum-americanum"|||
"zea-mays"|||
"zingiber-officinale"|||
